crop_cd	manu_gubun	cho_exp	icept	exp_slope	fert_exp	min_base	mid_base	max_base	min_fert	mid_fert1	mid_fert2	max_fert	base_fert	pre_fert	post_fert				
00000	1	2				2		3	1600	1200		800							
00000	2	1			9.14-0.109*OM+0.020*SiO2								0.56						
00000	3	1			(100-P2O5)*0.1								1						
00000	4	1			(0.03*CEC-K)*47.1								0.7						
00001	1	2				2		3	2000	1500		1000							
00001	2	1	23.927	-5.208	om								0.4						
00001	3	1	37.604	-12.286	log(p2o5)								1						
00001	4	1			10^(1.285-1.608*k)								1						
00002	1	2				2		3	2000	1500		1000							
00002	2	1	16.031	-3.489	om								0.6						
00002	3	1	37.604	-12.286	log(p2o5)								1						
00002	4	1			10^(1.285-1.608*k)								1						
00003	1	2				1.5		2.5	1500	1200		800							
00003	2	1	8.608	-2.44	om								1						
00003	3	1	55.778	-22.956	log(p2o5)								1						
00003	4	1			10^(1.123-1.328*k)								1						
00004	1	2				2		3	1800	1500									
00004	2	1	8.608	-2.44	om								1						
00004	3	1	55.778	-22.956	log(p2o5)								1						
00004	4	1			10^(1.123-1.328*k)								1						
00005	1	2				2		3	2500	2000		1500							
00005	2	1	23.319	-2.026	om								0.5						
00005	3	1	94.289	-37.685	log(p2o5)								1						
00005	4	1	29.989	-37.792	k								1						
00006	1	2				2		3	2500	2000		1500							
00006	2	1	19.355	-1.682	om								0.5						
00006	3	1	94.289	-37.685	log(p2o5)								1						
00006	4	1	29.989	-37.792	k								1						
00007	1	2				1.5		2.5	2000	1500		1000							
00007	2	2				1.5		2.5	6.6	5.5		4.4	1						
00007	3	1	23.7	-0.027	p2o5								1						
00007	4	1	19.971	-4.709	k								1						
00008	1	2				2		3	2000	1500		1000							
00008	2	2				1.5		2.5	6.6	5.5		4.4	1						
00008	3	1	23.731	-0.027	p2o5								1						
00008	4	1	25.429	-11.899	k								1						
00009	1	2				1.5		2.5	1500	1200		1000							
00009	3	1	17.596	-5.53	om								1						
00009	2	1	38.944	-14.367	log(p2o5)								1						
00009	4	1	18.052	-28.076	k								1						
00010	1	2				2		3	1500	1200									
00010	2	1	17.596	-5.53	om								1						
00010	3	1	38.944	-14.367	log(p2o5)								1						
00010	4	1	18.052	-28.076	k								1						
00011	1	2				0.5		1.5	1500	1000		800							
00011	3	1	20.587	-0.054	p2o5								1						
00011	4	1	15.284	-14.536	k								1						
00011	2	1	8.456	-2.603	om								1						
00012	1	2				2		3	1500	1000		800							
00012	2	1	8.456	-2.603	om								1						
00012	3	1	20.587	-0.054	p2o5								1						
00012	4	1	15.284	-14.536	k								1						
00013	1	2				2.5		3.5	2500	2000		1500							
00013	2	2				2.5		3.5	28.8	24		19.2	0.35						
00013	3	1	41.163	-0.067	p2o5								1						
00013	4	1	35.18	-61.889	k/sqrt(ca+mg)								0.4						
00014	1	2				2.5		3.5	2500	2000		1500							
00014	2	2				2.5		3.5	28.8	24		19.2	0.35						
00014	3	1	41.163	-0.067	p2o5								1						
00014	4	1	35.18	-61.889	k/sqrt(ca+mg)								0.4						
00015	1	2				1.5		2.5	2000	1500		1000							
00015	2	2				2		3	18.2	15.2		12.2	0.4						
00015	3	1	84.251	-29.686	log(p2o5)								1						
00015	4	1	29.904	-84.634	k/sqrt(ca+mg)								0.6						
00016	1	2				1.5		2.5	2000	1500		1000							
00016	2	1	14.424	-3.612	EC								0.4						
00016	3	1	84.251	-29.686	log(p2o5)								1						
00016	4	1	29.904	-84.634	k/sqrt(ca+mg)								0.6						
00016	5	1	15.017	-0.075	NO3N								0.5						
00017	1	2				2		3	1500	1000									
00017	2	1	20.935	-1.251	om								1						
00017	3	1	18.337	-0.02	p2o5								1						
00017	4	1	23.879	-11.16	k								1						
00018	1	2				2		3	1500	1000									
00018	2	1	26.169	-1.564	om								1						
00018	3	1	22.921	-0.025	p2o5								1						
00018	4	1	23.878	-11.159	k								1						
00019	1	2				2.5		3.5	2500	2000									
00019	2	2				1		2	22.799	19		15.2	0.55						
00019	3	1	26.2	-0.038	p2o5								1						
00019	4	1	34.18	-60.189	k/sqrt(ca+mg)								0.6						
00020	1	2				2.5		3.5	2500	2000									
00020	2	1	33.06	-5.48	EC								0.55						
00020	3	1	26.2	-0.038	p2o5								1						
00020	4	1	34.18	-60.19	k/sqrt(ca+mg)								0.6						
00020	5	1	33.06	-0.109	NO3N								0.5						
00021	1	2				2.5		3.5	2500	2000									
00021	2	1	22.761	-1.564	om								0.35						
00021	3	1	46.013	-13.132	log(p2o5)								1						
00021	4	1			10^(1.431-0.486*k)								0.35						
00022	1	2				2.5		3.5	2500	2000		1000							
00022	2	1	22.761	-1.564	EC								0.35						
00022	3	1	46.013	-13.132	log(p2o5)								1						
00022	4	1			10^(1.431-0.486*k)								0.35						
00023	1	2				2		3	2500	2000									
00023	2	2				1.5		2.5	28.799	24		19.2	0.2						
00023	3	1	17.094	-0.026	p2o5								1						
00023	4	1	21.285	-64.361	k/sqrt(ca+mg)								0.2						
00024	1	2				2		3	2500	2000									
00024	2	2				1.5		2.5	28.799	24		19.2	0.2						
00024	3	1	30.847	-0.043	p2o5								1						
00024	4	1	21.285	-64.361	k/sqrt(ca+mg)								0.2						
00025	1	2				2		3	2500	2000									
00025	2	2				1.5		2.5	28.799	24		19.2	0.55						
00025	3	1	25.421	-0.029	p2o5								1						
00025	4	1	44.509	-80.823	k/sqrt(ca+mg)								0.3						
00026	1	2				2		3	2500	2000									
00026	2	1	30	-5	EC								0.57						
00026	3	1	25.421	-0.029	p2o5								1						
00026	4	1	44.509	-80.823	k/sqrt(ca+mg)								0.3						
00026	5	1	30	-0.099	NO3N								0.57						
00027	1	2				2		3	2500	2000									
00027	2	2				1.5		2.5	28.799	24		19.2	0.45						
00027	3	1	25.421	-0.029	p2o5								1						
00027	4	1	44.509	-80.823	k/sqrt(ca+mg)								0.65						
00028	1	2				2		3	2500	2000									
00028	2	1	29	-4.807	EC								0.45						
00028	3	1	25.421	-0.029	p2o5								1						
00028	4	1	44.509	-80.823	k/sqrt(ca+mg)								0.65						
00028	5	1	29	-0.096	NO3N								0.5						
00029	1	2				2		3	2000	1500									
00029	2	2				2		3	24	20		16	0.5						
00029	3	1	74.893	-26.377	log(p2o5)								1						
00029	4	1	27.476	-77.646	k/sqrt(ca+mg)								0.5						
00030	1	2				2		3	2000	1500									
00030	2	1	19.756	-4.947	EC								0.5						
00030	3	1	74.893	-26.377	log(p2o5)								1						
00030	4	1	27.476	-77.646	k/sqrt(ca+mg)								0.5						
00030	5	1	19.759	-0.099	NO3N								0.5						
00031	1	2				2		3	2500	2000									
00031	2	2				2		3	22.8	19		15.2	0.35						
00031	3	1	30.889	-0.05	p2o5								1						
00031	4	1	24.908	-43.818	k/sqrt(ca+mg)								0.75						
00032	1	2				2		3	2500	2000									
00032	2	1	18.715	-4.706	EC								0.35						
00032	3	1	30.889	-0.05	p2o5								1						
00032	4	1	24.908	-43.818	k/sqrt(ca+mg)								0.75						
00032	5	1	18.715	-0.094	NO3N								0.5						
00033	1	2				2		3	2000	1500		1000							
00033	2	2				2		3	24	20		16	0.3						
00033	3	1	23.116	-0.027	p2o5								1						
00033	4	1	22.621	-32.583	k/sqrt(ca+mg)								0.65						
00034	1	2				2		3	2000	1500		1000							
00034	2	2				2		3	24	20		16	0.3						
00034	3	1	23.116	-0.027	p2o5								1						
00034	4	1	22.621	-32.583	k/sqrt(ca+mg)								0.65						
00035	1	2				2		3	2000	1500									
00035	2	2				2		3	33.599	28		22.4	0.35						
00035	3	1	24.725	-0.038	p2o5								1						
00035	4	1	27.814	-84.104	k/sqrt(ca+mg)								0.5						
00036	1	2				2		3	2000	1500									
00036	2	1	25.742	-4.267	EC								0.35						
00036	3	1	24.725	-0.038	p2o5								1						
00036	4	1	27.814	-84.104	k/sqrt(ca+mg)								0.5						
00036	5	1	25.742	-0.085	NO3N								0.5						
00037	1	2				2.5		3.5	2000	1500									
00037	2	1	44.082	-5.88	om								0.35						
00037	3	1	132.4	-46.63	log(p2o5)								1						
00037	4	1	34.767	-92.286	k/sqrt(ca+mg)								0.55						
00038	1	2				2.5		3.5	2000	1500									
00038	2	1	32.585	-5.401	EC								0.35						
00038	3	1	132.4	-46.63	log(p2o5)								1						
00038	4	1	34.767	-98.286	k/sqrt(ca+mg)								0.55						
00038	5	1	32.585	-0.108	NO3N								0.35						
00039	1	2				2.5		3.5	2000	1500									
00039	2	2				2		3	36.8	31.2		25.4	0.35						
00039	3	1	152.461	-53.695	log(p2o5)								1						
00039	4	1	38.244	-108.115	k/sqrt(ca+mg)								0.55						
00040	1	2				2.5		3.5	2000	1500									
00040	2	1	33.562	-5.563	EC								0.35						
00040	3	1	152.461	-53.695	log(p2o5)								1						
00040	4	1	38.244	-108.115	k/sqrt(ca+mg)								0.55						
00040	5	1	33.562	-0.111	NO3N								0.35						
00041	1	2				2		3	2000	1500									
00041	2	2				2		3	30	25		20	0.52						
00041	3	1	41.163	-0.067	p2o5								1						
00041	4	1	36.658	-64.489	k/sqrt(ca+mg)								0.52						
00042	1	2				2		3	2000	1500									
