crop_cd	crop_nm	prop_acidl	prop_acidh	prop_oml	prop_omh	prop_phal	prop_phah	prop_kl	prop_kh	prop_cal	prop_cah	prop_mgl	prop_mgh	prop_cecl	prop_cech	prop_selcl	prop_selch	crop_gbn	del_yn	del_ymd	crop_seqno	userin	prop_nol	prop_noh	prop_sil	prop_sih		
00000	벼	6	6.5	2	3	80	120	0.2	0.3	5	6	1.5	2	10	15	0	2	01	N		1	N			157			
00001	보리	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		3	N						
00002	맥주보리	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		6	N						
00003	콩	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		7	N						
00004	"콩(개간지, 노지)"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		9	N						
00005	옥수수	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		11	N						
00006	단옥수수	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		12	N						
00007	고구마	6	6.5	2	3	150	250	0.6	0.7	5	6	1.5	2			0	2	03	N			N						
00008	고구마(개간지)	6	6.5	2	3	250	350	0.5	0.65	5	6	1.5	2	10	15	0	2	03	N			N						
00009	참깨	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2			0	2	02	N		1	N						
00010	참깨(개간지)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	02	N		2	N						
00011	땅콩	6	6.5	2	3	150	250	0.45	0.85	6	7	1.5	2			0	2	02	N		6	N						
00012	땅콩(개간지)	6.5	7	2	3	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	N		7	N						
00013	양파(노지)	6	6.5	2.5	3.5	350	450	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N						
