crop_cd	jakcode	jakno	jakmul											
00000	01	1	벼											
00164	01	2	밭벼(화산회토)											
00165	01	3	밭벼(비화산회토)											
00300	01	4	벼(1모작)											
00301	01	5	벼(2모작)											
00302	01	6	"벼(모래논,고논)"											
00303	01	7	"벼(중간지,냉조풍지)"											
00304	01	8	벼(산간고냉지)											
00305	01	9	벼(염해지)											
01001	01	10	밭벼제주(화산)노지											
01002	01	11	밭벼제주(비화산)노지											
02023	01	12	"밀(사질~사양질,중북부)도복강"											
02024	02	149	들깨(종실용)											
02139	01	13	"밀(사질~사양질,남부)도복강"											
02140	01	14	"밀(식양질~식질,중북부)도복강"											
02141	01	15	"밀(식양질~식질,남부)도복강"											
02142	01	16	"밀(사질~사양질,중북부)도복중"											
02143	01	17	"밀(사질~사양질,남부)도복중"											
02144	01	18	"밀(식양질~식질,중북부)도복중"											
02145	01	19	"밀(식양질~식질,남부)도복중"											
00001	02	74	보리											
00002	02	75	맥주보리											
00003	02	76	콩											
00004	02	4	콩(개간지)노지											
00005	02	5	옥수수(노지)											
00006	02	6	단옥수수											
00007	02	78	고구마											
00008	02	8	고구마(개간지)											
00009	02	79	참깨											
00010	02	10	참깨(개간지)											
00011	02	73	땅콩											
00012	02	12	땅콩(개간지)											
00013	02	13	양파(노지)											
00015	02	14	파(노지)											
00017	02	15	감자(봄재배)											
00018	02	16	감자(가을재배)											
00019	02	17	고추(노지)											
00021	02	18	마늘(노지)											
00023	02	19	생강(노지)											
00025	02	20	토마토(노지)											
00027	02	21	오이(노지)											
00029	02	22	상추(노지)											
00031	02	23	딸기(노지)											
00033	02	24	당근(노지)											
00035	02	25	무(노지)											
00037	02	26	배추(노지)											
00039	02	27	양배추(노지)											
00041	02	28	참외(노지)											
00043	02	29	수박(노지)											
00046	02	30	가지(노지)											
00048	02	31	시금치(노지)											
00050	02	32	호박(노지)											
00052	02	33	쑥갓(노지)											
00054	02	34	셀러리(노지)											
00056	02	35	부추(노지)											
00130	02	36	"유채(고정품종,점파)"											
00131	02	37	"유채(1대잡종,점파)"											
00153	02	38	잎들깨(노지)											
00156	02	39	보리(화산회토)											
00157	02	40	보리(비화산회토)											
00158	02	41	대두(화산회토)											
00159	02	42	대두(비화산회토)											
00160	02	43	고구마(화산회토)											
00161	02	44	고구마(비화산회토)											
00162	02	45	"감자(봄겨울재배,화산회토)"											
00163	02	46	"감자(가을재배,비화산회토)"											
00166	02	47	참깨(화산회토)											
00167	02	48	참깨(비화산회토)											
00168	02	49	땅콩(화산회토)											
00169	02	50	땅콩(비화산회토)											
00170	02	51	"감자(봄겨울재배,비화산회토)"											
00171	02	52	"감자(가을재배,화산회토)"											
00172	02	53	땅콩(2모작)화산											
00173	02	54	땅콩(2모작)비화산											
00174	02	55	유채(화산회토)											
00175	02	56	유채(비화산회토)											
00176	02	57	마늘(화산회토)											
00177	02	58	마늘(비화산회토)											
00178	02	146	배추(고냉지)(노지)											
00203	02	61	참깨(노지)											
00204	02	62	땅콩(노지)											
00206	02	63	고구마(노지)											
00207	02	64	감자(노지)											
00209	02	65	당근(화산회토)											
00210	02	66	당근(비화산회토)											
00211	02	67	무(화산회토)											
00212	02	68	무(비화산회토)											
00213	02	69	"양파(봄재배,화산회토)"											
00214	02	70	"양파(봄재배,비화산회토)"											
00215	02	71	"양파(가을재배,화산회토)"											
00216	02	72	"양파(가을재배,비화산회토)"											
00217	02	11	땅콩(기경지)											
00218	02	1	대과맥(노지)											
00219	02	2	맥주맥(노지)											
00220	02	3	콩(기경지)노지											
00221	02	77	보통옥수수											
00222	02	7	고구마(기경지)											
00231	02	9	참깨(기경지)											
00233	02	80	콩(노지)											
00252	02	83	참깨(2모작지)											
00306	02	81	보리(중북부)											
00307	02	82	보리(남부)											
00310	02	145	미나리(노지)											
